Label;Id;Section;Industry;Exchange
SMILES AG;CX2;;;ETR
Electric Car Company, Inc.;ELCR;;;PINK
Daewoo Motors India Ltd;500100;;;BOM
BNS Holdings Inc.;BNSSA;;;PINK
NISSAN SHATAI CO., LTD.;7222;;;TYO
Sapura Resources Berhad;SAPRES;;;KUL
Chongqing Changan Automobile Company Ltd;200625;;;SHE
TRUCK-ONE CO., LTD.;3047;;;FUK
SML Isuzu Ltd;505192;;;BOM
Li-ion Motors Corp;LMCO;;;OTC
Honda Atlas Cars (Pakistan) Ltd.;HCAR;;;KAR
Piaggio & C. SpA;PIA;;;BIT
Dongfeng Automobile Co., Ltd;600006;;;SHA
Anhui Jianghuai Automobile Co., Ltd.;600418;;;SHA
Zhengzhou Yutong Bus Co., Ltd.;600066;;;SHA
Ashok Leyland Limited;500477;;;BOM
Daimler AG (USA);DDAIF;;;PINK
Permaju Industries Berhad;PERMAJU;;;KUL
Hindustan Motors Limited;500500;;;BOM
General Motors Company;GM;Consumer Cyclical;Auto and Truck Manufacturers;NYSE
Ford Otomotiv Sanayi A.S.;FROTO;;;IST
ZAP;ZAAP;;;OTC
Federal Signal Corporation;FSS;Consumer Cyclical;Auto and Truck Manufacturers;NYSE
Northeast Automotive Holdings Inc;NEAU;;;PINK
AutoLogic Holdings plc;ALG;Consumer Cyclical;Auto and Truck Manufacturers;LON
;LAST B;;;CPH
Qingling Motors Co. Ltd.;1122;;;HKG
CMC Holdings Limited;CMC;;;NBO
Cfao SA;CFAO;;;EPA
Guangzhou Oriental Baolong Automotive Co;600988;;;SHA
PGO Automobiles SA;MLPGO;;;EPA
Maruti Suzuki India Ltd;532500;;;BOM
China Jialing Industrial Co Ltd (Group);600877;;;SHA
APPLE INTERNATIONAL CO., LTD.;2788;;;TYO
Bayerische Motoren Werke AG;BMW;;;ETR
Tata Motors Limited (ADR);TTM;Consumer Cyclical;Auto and Truck Manufacturers;NYSE
HWA AG;H9W;;;ETR
HONDA MOTOR CO., LTD. (ADR);HMC;Consumer Cyclical;Auto and Truck Manufacturers;NYSE
Ghandhara Nissan Ltd.;GHNL;;;KAR
China Motor Corporation;2204;;;TPE
Tofas Turk Otomobil Fabrikasi A.S.;TOASO;;;IST
PT Indomobil Sukses Internasional Tbk;IMAS;;;JAK
Hyundai Motor Co;005380;;;SEO
Renault SA;RNO;;;EPA
Kolao Holdings;900140;;;SEO
Dewan Farooq Motors Ltd.;DFML;;;KAR
Volkswagen AG;VOW;;;ETR
Jamna Auto Industries Ltd(NDA);520051;;;BOM
Peugeot SA;UG;;;EPA
TMT Motor Joint Stock Co;TMT;;;HCM
Mitsubishi Corporation;8058;;;TYO
Mahindra & Mahindra Limited;MHID;;;LON
Geely Automobile Holdings Ltd.;0175;;;HKG
Arctic Cat Inc.;ACAT;Consumer Cyclical;Auto and Truck Manufacturers;NASDAQ
Atlas Honda Ltd;ATLH;;;KAR
Mitsubishi Heavy Industries, Ltd.;7011;;;TYO
Yulon Motor Co., Ltd.;2201;;;TPE
SUZUKI MOTOR CORPORATION;7269;;;TYO
Tata Motors Limited;500570;;;BOM
Porsche Automobil Holding SE;PAH3;;;ETR
HONDA MOTOR CO., LTD.;7267;;;TYO
Swedish Automobile NV;SWAN;;;AMS
Mazda Motor Corporation;7261;;;TYO
Jiangling Motors Corporation, Ltd.;200550;;;SHE
Boon Koon Group Berhad;BKOON;;;KUL
DAIHATSU MOTOR CO., LTD.;7262;;;TYO
Roman SA;ROVA;;;BSE
Dongfeng Motor Group Co. Ltd;0489;;;HKG
Ford Motor Company;F;Consumer Cyclical;Auto and Truck Manufacturers;NYSE
Scooters India Ltd;505141;;;BOM
GAZ OAO;GAZA;;;RTC
T3 Motion, Inc.;TTTM;Consumer Cyclical;Auto and Truck Manufacturers;NYSEAMEX
Kandi Technolgies Corp.;KNDI;Consumer Cyclical;Auto and Truck Manufacturers;NASDAQ
TVS Motor Company Limited;532343;;;BOM
Manganese Bronze Holdings plc;MNGS;Consumer Cyclical;Auto and Truck Manufacturers;LON
Mudan Automobile Shares Company Limited;8188;;;HKG
MITSUBISHI MOTORS CORPORATION;7211;;;TYO
Ssangyong Motor Co., Ltd.;003620;;;SEO
Spartan Motors, Inc.;SPAR;Consumer Cyclical;Auto and Truck Manufacturers;NASDAQ
Bajaj Auto Limited.;532977;;;BOM
Karsan Otomotiv Sanayii Ve Ticaret A.S.;KARSN;;;IST
Tan Chong International Ltd.;0693;;;HKG
Tesla Motors Inc;TSLA;Consumer Cyclical;Auto and Truck Manufacturers;NASDAQ
Bayerische Motoren Werke AG (Preference);BMW3;;;ETR
Agri Invest Ltd.;AGRI;;;TLV
LML Limited;500255;;;BOM
TOYOTA MOTOR CORPORATION;7203;;;TYO
Yulon Nissan Motor Co., Ltd.;2227;;;TPE
Nissan Motor Co., Ltd.;7201;;;TYO
Daimler AG;DAI;;;ETR
Atul Auto Ltd;531795;;;BOM
Toyota Motor Corporation (ADR);TM;Consumer Cyclical;Auto and Truck Manufacturers;NYSE
Otokar Otomotiv ve Savunma Sanayi AS;OTKAR;;;IST
Brilliance China Automotive Holding Ltd.;1114;;;HKG
Sollers OAO;SVAV;;;MCX
Audi AG;NSU;;;ETR
